Altium Designer Pick and Place Locations
F:\Download\Printer_Final\Project Outputs for Printer\Pick Place\Pick Place for Printer(Build_Alt).txt

========================================================================================================================
File Design Information:

Date:       04/03/22
Time:       09:21
Revision:   Not in VersionControl
Variant:    Build_Alt
Units used: mil

Designator Comment                    Layer    Footprint                          Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                      
R28        "4.99k 0.5%"               TopLayer FP-RG1608-IPC_C                    2371.230      1525.575      90       "Automotive Metal Thin Film Chip Resistor, 0603, 4.99k次, 0.5%, 25ppm/～C, 0.1W, 100V"                                                             
U2         LM5118MH                   TopLayer MXA20A                             2041.937      1910.472      90       "Buck, Buck-Boost Regulator Positive Output Step-Down, Step-Up/Step-Down DC-DC Controller IC 20-HTSSOP"                                          
R29        "1K 1%"                    TopLayer FP-RC0603-0_55-IPC_C               2758.760      2158.010      90       "RES 1K OHM 1% 1/10W 0603"                                                                                                                       
R27        "5.1K 1%"                  TopLayer RESC1608X55X25ML10T15              1849.937      1815.472      270      ""                                                                                                                                               
R26        "20m 1%"                   TopLayer FP-PRL1632-IPC_B                   1666.175      1933.484      90       "20 mOhms ㊣1% 1W Chip Resistor Wide 0612 (1632 Metric), Current Sense Thin Film"                                                                 
R25        "10K 1%"                   TopLayer FP-RMCF0402-IPC_C                  2184.997      1698.005      180      "10k次 ㊣1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"                                                                               
R24        "18.7K 1%"                 TopLayer FP-RT0805-MFG                      1832.220      1603.335      90       "RES SMD 18.7K OHM 1% 1/8W 0805"                                                                                                                 
R23        "1M 1%"                    TopLayer RESC1608X55X25LL10T15              1909.418      1625.479      270      "Chip Resistor, 1 MOhm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                                
R22        "5.76K 1%"                 TopLayer RESC1608X55X25ML10T15              1723.264      1687.500      180      ""                                                                                                                                               
R6         Jumper                     TopLayer RESC1609X50X30LL10T20              2412.969      1613.173      270      ""                                                                                                                                               
Q2         CSD16342Q5A                TopLayer DQJ8_TEX                           2441.229      2563.701      180      "No Description Available"                                                                                                                       
Q1         CSD16342Q5A                TopLayer DQJ8_TEX                           1581.534      2563.701      180      "No Description Available"                                                                                                                       
L1         SRR1280-100M               TopLayer IND_BOURNS_SRR1280                 2035.937      2459.472      180      "No Description Available"                                                                                                                       
D6         B520C-13-F                 TopLayer SMC_DIO                            1576.534      2220.500      270      "No Description Available"                                                                                                                       
D2         PDS760-13                  TopLayer POWERDI5_DIO                       2441.230      2288.299      180      "No Description Available"                                                                                                                       
C39        82uF                       TopLayer CHEMI-F80                          2419.000      1829.000      180      "No Description Available"                                                                                                                       
C27        "68nF 50V"                 TopLayer CAPC1206(3216)100_L                2246.572      1576.052      90       "CAP 68nF 50V -20% to +80% 1206 (3216 Metric) Thickness 1mm SMD"                                                                                 
C23        "22nF 50V"                 TopLayer CAPC0805(2012)75_N                 2054.997      1636.800      90       "CAP 22nF 50V ㊣20% 0805 (2012 Metric) Thickness 0.75mm SMD"                                                                                      
